X,Y,Z
253,-5602,19010
254,-5650,19058
208,-5625,19085
209,-5656,19077
163,-5612,19028
163,-5638,19001
118,-5628,19075
118,-5650,19028
72,-5618,19027
72,-5660,19056
27,-5616,19018
27,-5658,19046
-18,-5623,19036
-19,-5666,19065
-63,-5632,19065
-64,-5659,19036
-108,-5624,19025
-110,-5671,19073
-154,-5624,19025
-155,-5663,19044
-199,-5629,19043
-201,-5661,19034
-244,-5621,19015
-247,-5672,19071
-290,-5641,19090
-292,-5658,19034
-334,-5618,19014
-337,-5660,19043
-381,-5638,19079
-383,-5665,19061
-425,-5625,19041
-428,-5653,19022
-471,-5623,19040
-474,-5653,19032
-516,-5622,19050
-520,-5656,19050
-561,-5617,19040
-565,-5649,19031
-606,-5613,19039
-611,-5649,19049
-654,-5632,19114
-655,-5636,19011
-696,-5604,19029
-701,-5638,19029
-742,-5602,19038
-748,-5647,19076
-788,-5602,19056
-792,-5629,19028
-830,-5580,18989
-837,-5623,19028
-878,-5596,19064
-883,-5623,19046
-921,-5582,19036
-928,-5616,19036
-965,-5567,19007
-974,-5616,19054
-1013,-5582,19082
-1019,-5610,19064
-1057,-5566,19044
-1063,-5598,19044
-1101,-5555,19035
-1110,-5600,19072
-1147,-5556,19062
-1154,-5587,19053
-1191,-5543,19043
-1198,-5574,19033
-1234,-5530,19024
-1243,-5569,19042
-1281,-5531,19061
-1288,-5561,19052
-1323,-5514,19032
-1332,-5550,19042
-1370,-5517,19068
-1379,-5548,19069
-1413,-5500,19050
-1424,-5542,19078
-1460,-5500,19078
-1467,-5524,19050
-1499,-5473,19021
-1513,-5522,19077
-1546,-5470,19049
-1554,-5498,19030
-1587,-5451,19020
-1600,-5494,19058
-1636,-5456,19075
-1639,-5464,18992
-1681,-5450,19094
-1689,-5472,19057
-1722,-5427,19056
-1728,-5445,19010
-1765,-5414,19056
-1777,-5448,19056
-1811,-5408,19073
-1820,-5433,19055
-1851,-5387,19045
-1864,-5423,19064
-1895,-5376,19054
-1911,-5418,19092
-1941,-5369,19082
-1951,-5394,19053
-1981,-5344,19044
-1995,-5381,19062
-2026,-5335,19062
-2036,-5359,19034
-2069,-5321,19061
-2082,-5355,19071
-2109,-5298,19033
-2123,-5332,19042
-2155,-5292,19070
-2168,-5322,19061
-2196,-5274,19060
-2211,-5306,19060
-2235,-5250,19032
-2250,-5283,19032
-2283,-5246,19078
-2291,-5262,19022
-2322,-5221,19050
-2339,-5260,19078
-2365,-5208,19058
-2378,-5235,19050
-2406,-5188,19048
-2427,-5230,19096
-2450,-5175,19067
-2469,-5212,19095
-2492,-5159,19076
-2503,-5180,19038
-2532,-5137,19066
-2552,-5177,19094
-2574,-5120,19065
-2584,-5139,19028
-2614,-5098,19055
-2632,-5132,19075
-2655,-5078,19055
-2670,-5106,19046
-2697,-5060,19064
-2709,-5081,19027
-2741,-5047,19092
-2748,-5060,19026
-2776,-5015,19044
-2791,-5042,19035
-2818,-4999,19063
-2827,-5014,19006
-2860,-4980,19071
-2873,-5001,19034
-2907,-4970,19119
-2917,-4986,19062
-2939,-4935,19061
-2945,-4944,18987
-2973,-4904,19023
-2968,-4894,18874
-3013,-4883,19032
-2983,-4832,18713
-3050,-4856,19013
-2988,-4757,18496
-3083,-4823,18975
-2962,-4634,18084
-3105,-4775,18871
-2974,-4573,17924
-3140,-4746,18851
-2933,-4435,17445
-3162,-4700,18747
-2957,-4395,17380
-3189,-4660,18681
-2952,-4315,17136
-3223,-4631,18662
-2949,-4238,16910
-3254,-4597,18624
-2981,-4212,16891
-3276,-4553,18539
-3028,-4208,16966
-3337,-4560,18680
-3078,-4208,17069
-3381,-4545,18717
-3129,-4206,17162
-3414,-4515,18698
-3224,-4264,17508
-3482,-4530,18876
-3330,-4333,17910
-3536,-4527,18979
-3464,-4434,18454
-3596,-4529,19110
-3537,-4454,18659
-3630,-4499,19091
-3630,-4498,18979
-3664,-4469,19081
-3682,-4490,19062
-3699,-4441,19081
-3719,-4463,19062
-3739,-4417,19099
-3759,-4439,19080
-3768,-4381,19061
-3791,-4407,19071
-3803,-4352,19061
-3825,-4376,19061
-3843,-4329,19088
-3862,-4349,19070
-3868,-4290,19041
-3893,-4317,19050
-3907,-4264,19060
-3934,-4293,19077
-3935,-4228,19031
-3967,-4261,19068
-3971,-4199,19040
-4006,-4235,19096
-4011,-4176,19067
-4038,-4203,19087
-4052,-4153,19104
-4064,-4164,19049
-4080,-4117,19076
-4099,-4136,19057
-4108,-4081,19057
-4131,-4103,19048
-4139,-4048,19046
-4174,-4081,19094
-4187,-4031,19122
-4201,-4044,19065
-4208,-3989,19065
-4241,-4018,19103
-4236,-3953,19046
-4271,-3984,19094
-4269,-3922,19055
-4305,-3954,19102
-4299,-3887,19045
-4344,-3927,19130
-4340,-3863,19092
-4358,-3878,19054
-4366,-3826,19063
-4393,-3848,19073
-4392,-3788,19043
-4429,-3819,19091
-4424,-3756,19053
-4460,-3785,19090
-4464,-3730,19100
-4489,-3749,19080
-4483,-3687,19043
-4528,-3722,19119
-4538,-3673,19155
-4553,-3684,19109
-4550,-3625,19079
-4575,-3643,19070
-4577,-3588,19070
-4609,-3612,19089
-4599,-3548,19042
-4638,-3576,19088
-4636,-3518,19079
-4665,-3539,19078
-4659,-3480,19060
-4682,-3496,19031
-4687,-3444,19059
-4722,-3468,19088
-4721,-3411,19077
-4744,-3427,19059
-4742,-3371,19049
-4783,-3399,19105
-4773,-3337,19068
-4815,-3365,19124
-4816,-3311,19133
-4835,-3324,19095
-4828,-3265,19076
-4846,-3276,19029
-4853,-3227,19066
-4878,-3242,19057
-4897,-3202,19140
-4909,-3208,19076
-4899,-3149,19047
-4938,-3173,19084
-4934,-3117,19084
-4961,-3134,19074
-4958,-3079,19084
-4989,-3097,19083
-4986,-3043,19093
-5012,-3057,19074
-5006,-3001,19074
-5040,-3021,19093
-5027,-2962,19064
-5060,-2980,19074
-5050,-2923,19064
-5087,-2943,19082
-5074,-2884,19064
-5101,-2898,19044
-5098,-2846,19063
-5139,-2868,19110
-5121,-2806,19063
-5151,-2821,19063
-5153,-2772,19100
-5181,-2785,19090
-5165,-2727,19062
-5207,-2747,19100
-5190,-2688,19072
-5226,-2706,19090
-5211,-2648,19071
-5246,-2665,19080
-5229,-2606,19052
-5268,-2625,19080
-5252,-2567,19061
-5282,-2580,19062
